time,linear_x,angular_z
1778485769073165240,0.0,0.0
1778485769173723616,0.0,0.0
1778485769274160906,0.0,0.0
1778485769374277413,0.0,0.0
1778485769474662473,0.0,0.0
1778485769575329552,0.0,0.0
1778485769676143104,0.0,0.0
1778485769776862757,0.0,0.0
1778485769876987514,0.0,0.0
1778485769977775963,0.0,0.0
1778485770078534586,0.0,0.0
1778485770179463756,0.0,0.0
1778485770280140016,0.0,0.0
1778485770380814016,0.0,0.0
1778485770481370465,0.0,0.0
1778485770581713047,0.0,0.0
1778485770682035106,0.0,0.0
1778485770782535889,0.0,0.0
1778485770883212022,0.0,0.0
1778485770983810501,0.0,0.0
1778485771084520972,0.0,0.0
1778485771184982625,0.0,0.0
1778485771285304284,0.0,0.0
1778485771385617286,0.0,0.0
1778485771486460073,0.0,0.0
1778485771587064936,0.0,0.0
1778485771687786005,0.0,0.0
1778485771787913871,0.0,0.0
1778485771888268901,0.0,0.0
1778485771988624241,0.0,0.0
1778485772089329299,0.0,0.0
1778485772189907729,0.0,0.0
1778485772290728997,0.0,0.0
1778485772391394280,0.0,0.0
1778485772492065245,0.0,0.0
1778485772592701668,0.0,0.0
1778485772693342005,0.0,0.0
1778485772794158393,0.0,0.0
1778485772894770300,0.0,0.0
1778485772995465113,0.0,0.0
1778485773096042343,0.0,0.0
1778485773196944014,0.0,0.0
1778485773297825580,0.0,0.0
1778485773398523773,0.0,0.0
1778485773499222844,0.0,0.0
1778485773599864442,0.0,0.0
1778485773700603097,0.0,0.0
1778485773801377411,0.0,0.0
1778485773902059031,0.0,0.0
1778485774002756749,0.0,0.0
1778485774103558761,0.0,0.0
1778485774204172520,0.0,0.0
1778485774304835134,0.0,0.0
1778485774405708591,0.0,0.0
1778485774506580825,0.0,0.0
1778485774607276111,0.0,0.0
1778485774674527007,0.005,0.0
1778485774775437388,0.01,0.0
1778485774876182334,0.01,0.0
1778485774976821012,0.01,0.0
1778485775077543162,0.01,0.0
1778485775178233886,0.01,0.0
1778485775278813971,0.01,0.0
1778485775379529082,0.01,0.0
1778485775480167936,0.01,0.0
1778485775580888776,0.01,0.0
1778485775681585205,0.01,0.0
1778485775782206561,0.01,0.0
1778485775882877303,0.01,0.0
1778485775983469871,0.01,0.0
1778485776084224425,0.01,0.0
1778485776184986901,0.01,0.0
